distro,version,arch,url,checksum,shatype
linuxmint-mate,19.3,amd64,https://mirrors.layeronline.com/linuxmint/stable/19.3/linuxmint-19.3-mate-64bit.iso,610385bd480d4f906774d865761c429bccc522cf9dd62a5928045fac8fa24bf6,256
linuxmint-cinnamon,20.3,amd64,https://mirrors.layeronline.com/linuxmint/stable/20.3/linuxmint-20.3-cinnamon-64bit.iso,e739317677c2261ae746eee5f1f0662aa319ad0eff260d4eb7055d7c79d10952,256
ubuntumate,18.04.4,i386,https://releases.ubuntu-mate.org/archived/18.04/ubuntu-mate-18.04.4-desktop-i386.iso,9611cf270c91b15c03ea3fe1cad1193d3e13cfb0,1
ubuntumate,18.04.4,amd64,https://releases.ubuntu-mate.org/archived/18.04/ubuntu-mate-18.04.4-desktop-amd64.iso,1273195e39545a2c429ee689f2d110e55743d64e,1
ubuntu-mini,20.04.21,amd64,http://archive.ubuntu.com/ubuntu/dists/focal/main/installer-amd64/current/legacy-images/netboot/mini.iso,0e79e00bf844929d40825b1f0e8634415cda195ba23bae0b041911fde4dfe018,256
ubuntu-desktop,16.04.6,i386,http://mirror.internode.on.net/pub/ubuntu/releases/16.04/ubuntu-16.04.6-desktop-i386.iso,eecb9c8160cdb08adf0c2f17daa1d403f5a55f14a856a5973f32f267eb9db039,256
ubuntu-server,16.04.6,i386,http://mirror.internode.on.net/pub/ubuntu/releases/16.04/ubuntu-16.04.6-server-i386.iso,7509cabb2f9f6ba0a95f8454d432be2ef26679d31ce35baa626acc5321460fab,256
ubuntu-desktop,16.04.7,amd64,http://mirror.internode.on.net/pub/ubuntu/releases/16.04/ubuntu-16.04.7-desktop-amd64.iso,8ba7e2687fb8a2152504475e92e489aace543059fd4ba7ffe10111c42394853b,256
ubuntu-server,16.04.7,amd64,http://mirror.internode.on.net/pub/ubuntu/releases/16.04/ubuntu-16.04.7-server-amd64.iso,b23488689e16cad7a269eb2d3a3bf725d3457ee6b0868e00c8762d3816e25848,256
ubuntu-desktop,18.04.6,amd64,http://mirror.internode.on.net/pub/ubuntu/releases/bionic/ubuntu-18.04.6-desktop-amd64.iso,f730be589aa1ba923ebe6eca573fa66d09ba14c4c104da2c329df652d42aff11,256
ubuntu-server,18.04.6,amd64,http://mirror.internode.on.net/pub/ubuntu/releases/bionic/ubuntu-18.04.6-live-server-amd64.iso,6c647b1ab4318e8c560d5748f908e108be654bad1e165f7cf4f3c1fc43995934,256
ubuntu-desktop,20.04.4,amd64,http://mirror.internode.on.net/pub/ubuntu/releases/20.04/ubuntu-20.04.4-desktop-amd64.iso,f92f7dca5bb6690e1af0052687ead49376281c7b64fbe4179cc44025965b7d1c,256
ubuntu-server,20.04.4,amd64,http://mirror.internode.on.net/pub/ubuntu/releases/20.04/ubuntu-20.04.4-live-server-amd64.iso,28ccdb56450e643bad03bb7bcf7507ce3d8d90e8bf09e38f6bd9ac298a98eaad,256
ubuntu-desktop,21.04,amd64,http://mirror.internode.on.net/pub/ubuntu/releases/21.04/ubuntu-21.04-desktop-amd64.iso,fa95fb748b34d470a7cfa5e3c1c8fa1163e2dc340cd5a60f7ece9dc963ecdf88,256
ubuntu-server,21.04,amd64,http://mirror.internode.on.net/pub/ubuntu/releases/21.04/ubuntu-21.04-live-server-amd64.iso,e4089c47104375b59951bad6c7b3ee5d9f6d80bfac4597e43a716bb8f5c1f3b0,256
ubuntu-desktop,21.10,amd64,http://mirror.internode.on.net/pub/ubuntu/releases/21.10/ubuntu-21.10-desktop-amd64.iso,f8d3ab0faeaecb5d26628ae1aa21c9a13e0a242c381aa08157db8624d574b830,256
ubuntu-server,21.10,amd64,http://mirror.internode.on.net/pub/ubuntu/releases/21.10/ubuntu-21.10-live-server-amd64.iso,e84f546dfc6743f24e8b1e15db9cc2d2c698ec57d9adfb852971772d1ce692d4,256
debian-live-gnome,6.0.7,amd64,https://cdimage.debian.org/mirror/cdimage/archive/6.0.7-live/amd64/iso-hybrid/debian-live-6.0.7-amd64-gnome-desktop.iso,8d48cc1728c51e5ce1d0f433b07bd777dde01753,1
debian-live-kde,6.0.7,amd64,https://cdimage.debian.org/mirror/cdimage/archive/6.0.7-live/amd64/iso-hybrid/debian-live-6.0.7-amd64-kde-desktop.iso,92771661f51ecc8d955010e8556acb2e1fe93561,1
debian-live-standard,6.0.7,amd64,https://cdimage.debian.org/mirror/cdimage/archive/6.0.7-live/amd64/iso-hybrid/debian-live-6.0.7-amd64-standard.iso,0504c8e47c9f18f75d88d3c4362577ca40e743ea,1
debian-live-xfce,6.0.7,amd64,https://cdimage.debian.org/mirror/cdimage/archive/6.0.7-live/amd64/iso-hybrid/debian-live-6.0.7-amd64-xfce-desktop.iso,f97b7f2c7140204221677f97bfe4c8347344396b,1
debian-live-cinnamon,10.10.0,i386,https://cdimage.debian.org/mirror/cdimage/archive/10.10.0-live/i386/iso-hybrid/debian-live-10.10.0-i386-cinnamon.iso,a3ca670cbf8f445cf3f8e7f9d1c1131f4f517ca44929602ca81a5ac6e1798935,256
debian-live-cinnamon,10.10.0,amd64,https://cdimage.debian.org/mirror/cdimage/archive/10.10.0-live/amd64/iso-hybrid/debian-live-10.10.0-amd64-cinnamon.iso,e9abc38c75a91c8985d6c5559b09a8538e67277a5e64b509051d5158ac8bc8be,256
debian-live-gnome,10.10.0,i386,https://cdimage.debian.org/mirror/cdimage/archive/10.10.0-live/i386/iso-hybrid/debian-live-10.10.0-i386-gnome.iso,3641aebc3166605a28232ce9b7fa7b2c43219bcca5d857be65381a4f38c3fbc1,256
debian-live-gnome,10.10.0,amd64,https://cdimage.debian.org/mirror/cdimage/archive/10.10.0-live/amd64/iso-hybrid/debian-live-10.10.0-amd64-gnome.iso,0833dedd63e40bf19b71a1065d57429738b93eeb9bc3b30a8f3632e2e8f0f31a,256
debian-live-kde,10.10.0,i386,https://cdimage.debian.org/mirror/cdimage/archive/10.10.0-live/i386/iso-hybrid/debian-live-10.10.0-i386-kde.iso,8e55eb426aa21f7776fe49f6429ee68f04068e36f91b240da7610402a0653943,256
debian-live-kde,10.10.0,amd64,https://cdimage.debian.org/mirror/cdimage/archive/10.10.0-live/amd64/iso-hybrid/debian-live-10.10.0-amd64-kde.iso,ad0acff97687fdada0ce30f0e2d8fbc4d0e617128e908d64fc1c6cfc5229b221,256
debian-live-mate,10.10.0,i386,https://cdimage.debian.org/mirror/cdimage/archive/10.10.0-live/i386/iso-hybrid/debian-live-10.10.0-i386-mate.iso,275bb18394a4ed2e2c2305e9cb26405a7226e8003db8f2fa86aebdd084ff0a18,256
debian-live-mate,10.10.0,amd64,https://cdimage.debian.org/mirror/cdimage/archive/10.10.0-live/amd64/iso-hybrid/debian-live-10.10.0-amd64-mate.iso,8333cc3182a4cc9bf5ee71f8656f1bb9315083e249e11f322ed37ab007072bd8,256
debian-live-xfce,10.10.0,i386,https://cdimage.debian.org/mirror/cdimage/archive/10.10.0-live/i386/iso-hybrid/debian-live-10.10.0-i386-xfce.iso,8032d902ccf8ca26e8dd8bd2262453edce7c8bd694abb2eeef5986ca4ad474ad,256
debian-live-xfce,10.10.0,amd64,https://cdimage.debian.org/mirror/cdimage/archive/10.10.0-live/amd64/iso-hybrid/debian-live-10.10.0-amd64-xfce.iso,9b199cb94dab3906d4a414b084572e1ce10f6449b1b20d136cee7e561e19c3ea,256
debian-netinstall,11.2.0,amd64,https://cdimage.debian.org/mirror/cdimage/archive/11.2.0/amd64/iso-cd/debian-11.2.0-amd64-netinst.iso,45c9feabba213bdc6d72e7469de71ea5aeff73faea6bfb109ab5bad37c3b43bd,256
debian-netinstall,11.2.0,i386,https://cdimage.debian.org/mirror/cdimage/archive/11.2.0/i386/iso-cd/debian-11.2.0-i386-netinst.iso,14f7758c2ee5d33b751d0dd7d00c77c6482f9b3be59ea39da9338aa07a062972,256
debian-live-cinnamon,11.2.0,amd64,https://cdimage.debian.org/mirror/cdimage/archive/11.2.0-live/amd64/iso-hybrid/debian-live-11.2.0-amd64-cinnamon.iso,85ab0c8b3f3adb1669efec2d285a3dd0f52e49c16346562d42b5e5e403d4b39b,256
debian-live-gnome,11.2.0,amd64,https://cdimage.debian.org/mirror/cdimage/archive/11.2.0-live/amd64/iso-hybrid/debian-live-11.2.0-amd64-gnome.iso,a8ee60af126be66c28cc4d8b3335e257c2a108872697ad5d1db10e994d5d0fbf,256
debian-live-kde,11.2.0,amd64,https://cdimage.debian.org/mirror/cdimage/archive/11.2.0-live/amd64/iso-hybrid/debian-live-11.2.0-amd64-kde.iso,8c4d3bc0394eefedf50b88a6f5bfa08eeb4f2f5d13ef097724ebdd4041d5dfbc,256
debian-live-lxqt,11.2.0,amd64,https://cdimage.debian.org/mirror/cdimage/archive/11.2.0-live/amd64/iso-hybrid/debian-live-11.2.0-amd64-lxqt.iso,b78bbb743f6a69b53ab9607c03476382b5900e022d2aa2b61ddfdcbb25c7bc79,256
debian-live-mate,11.2.0,amd64,https://cdimage.debian.org/mirror/cdimage/archive/11.2.0-live/amd64/iso-hybrid/debian-live-11.2.0-amd64-mate.iso,d3f4c431133be56c685bd062cf690621990adf93f3b9c11fc3bc046606074d9e,256
debian-live-xfce,11.2.0,amd64,https://cdimage.debian.org/mirror/cdimage/archive/11.2.0-live/amd64/iso-hybrid/debian-live-11.2.0-amd64-xfce.iso,9dbe070d28677231a3a81beb769a9d11b2837785e71e6f4e2059f5dc71d7111a,256
archlinux,2018.05.01,amd64,https://archive.archlinux.org/iso/2018.05.01/archlinux-2018.05.01-x86_64.iso,2adf5c728efeea60645d0c42337b033f5a68c506,1
archlinux,2019.10.01,amd64,https://archive.archlinux.org/iso/2019.10.01/archlinux-2019.10.01-x86_64.iso,23da63fe1f83f6f066ce0cc5450a1c5171e242d9,1
archlinux,2020.09.01,amd64,https://archive.archlinux.org/iso/2020.09.01/archlinux-2020.09.01-x86_64.iso,95ebacd83098b190e8f30cc28d8c57af0d0088a0,1
archlinux,2021.12.01,amd64,https://archive.archlinux.org/iso/2021.12.01/archlinux-2021.12.01-x86_64.iso,e303b93788220dbe8e0ba1804c90beebe432cf63,1
archlinux,2022.03.01,amd64,https://archive.archlinux.org/iso/2022.03.01/archlinux-2022.03.01-x86_64.iso,64070acf60ac342d7aaddddfa0448f5900c4a0a5,1
fedora-live-kde,11,amd64,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/11/Live/x86_64/Fedora-11-x86_64-Live-KDE.iso,4fdf952afb0d27887639140f6921ff58ba74f8d633b14414b095eb54b55df405,256
fedora-live-cinnamon,31,amd64,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/31/Spins/x86_64/iso/Fedora-Cinnamon-Live-x86_64-31-1.9.iso,e3922da372153fb008a83bd49dd5aa88db6d5b38f692cece186b031d0a2c3163,256
fedora-live-kde,31,amd64,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/31/Spins/x86_64/iso/Fedora-KDE-Live-x86_64-31-1.9.iso,b3a69e365815531cd3d4439f099749949eb8a60444ec9b743f2c264232f1c519,256
fedora-live-mate,31,amd64,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/31/Spins/x86_64/iso/Fedora-MATE_Compiz-Live-x86_64-31-1.9.iso,8a5f6c7cfad2e632bee710f8bd5daf90babe5880f9da7d209464d055fcead50d,256
fedora-live-xfce,31,amd64,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/31/Spins/x86_64/iso/Fedora-Xfce-Live-x86_64-31-1.9.iso,e2b05ee78dc5e4c39258d2d068a5c891366de02440ebcd7bcedf1fa31d15354e,256
